method,n_val_epochs,first_epoch,latest_epoch,latest_AP,latest_AP50,latest_AP75,best_epoch,best_AP,best_AP50,best_AP75,best_AP_S,best_AP_M,best_AP_L
TinyViM-B + RetinaNet,100,1,100,19.900,33.200,20.900,69,22.600,37.300,23.500,14.900,32.900,31.600
MobileMamba-B1 + RetinaNet,62,1,62,12.100,21.900,12.000,42,12.300,22.500,11.700,4.700,21.200,29.500
